out/HighwayEnv/DQNAgent/train/run_20210210-231311_2736_exp_merge_IROS_101,exp_merge_101 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front False lanes_count 1
out/HighwayEnv/DQNAgent/train/run_20210210-231311_2741_exp_merge_IROS_107,exp_merge_107 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front True lanes_count 3
out/HighwayEnv/DQNAgent/train/run_20210210-231311_2731_exp_merge_IROS_104,exp_merge_104 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front False lanes_count 3
out/HighwayEnv/DQNAgent/train/run_20210210-234144_9606_exp_merge_IROS_107,exp_merge_107 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front True lanes_count 3
out/HighwayEnv/DQNAgent/test/run_20210211-040212_9606_exp_merge_IROS_107-test,exp_merge_107 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front True lanes_count 3
out/HighwayEnv/DQNAgent/test/run_20210211-051402_2736_exp_merge_IROS_101-test,exp_merge_101 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front False lanes_count 1
out/HighwayEnv/DQNAgent/test/run_20210211-060940_2731_exp_merge_IROS_104-test,exp_merge_104 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front False lanes_count 3
out/HighwayEnv/DQNAgent/test/run_20210211-062022_2741_exp_merge_IROS_107-test,exp_merge_107 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front True lanes_count 3
out/HighwayEnv/DQNAgent/train/run_20210211-084759_31512_exp_merge_IROS_101,exp_merge_101 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front False lanes_count 1
out/HighwayEnv/DQNAgent/train/run_20210211-084839_31648_exp_merge_IROS_101,exp_merge_101 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front False lanes_count 1
out/HighwayEnv/DQNAgent/train/run_20210211-084935_31759_exp_merge_IROS_101,exp_merge_101 similar to configs/experiments/IROS/exp_base_conv_multiagent_heatmap.json cruising_vehicles_front False lanes_count 1
