out/HighwayEnv/DQNAgent/run_20210118-232714_6637_exp_merge_106,exp_merge_106 similar to IEEE_Access/exp_baseinitial_position= 95 and random_offset_merging= 5 and speed= 23
out/HighwayEnv/DQNAgent/run_20210118-232714_6643_exp_merge_105,exp_merge_105 similar to IEEE_Access/exp_baseinitial_position= 95 and random_offset_merging= 2 and speed= 27
out/HighwayEnv/DQNAgent/run_20210118-232714_6638_exp_merge_107,exp_merge_107 similar to IEEE_Access/exp_baseinitial_position= 95 and random_offset_merging= 5 and speed= 27
out/HighwayEnv/DQNAgent/run_20210118-232714_6634_exp_merge_104,exp_merge_104 similar to IEEE_Access/exp_baseinitial_position= 95 and random_offset_merging= 2 and speed= 23
out\HighwayEnv\DQNAgent\run_20210118-234816_14624_exp_merge_102,exp_merge_102 similar to IEEE_Access/exp_baseinitial_position= 90 and random_offset_merging= 5 and speed= 23
out\HighwayEnv\DQNAgent\run_20210118-234845_11680_exp_merge_103,exp_merge_103 similar to IEEE_Access/exp_baseinitial_position= 90 and random_offset_merging= 5 and speed= 27
out\HighwayEnv\DQNAgent\run_20210118-235152_13448_exp_merge_100,exp_merge_100 similar to IEEE_Access/exp_baseinitial_position= 90 and random_offset_merging= 2 and speed= 23
out\HighwayEnv\DQNAgent\run_20210118-235212_6060_exp_merge_101,exp_merge_101 similar to IEEE_Access/exp_baseinitial_position= 90 and random_offset_merging= 2 and speed= 27
out/HighwayEnv/DQNAgent/run_20210119-135809_31518_exp_merge_113,exp_merge_113 non-coop non-symp  similar to IEEE_Access/exp_base initial_position= 95 and random_offset_merging= 5 and speed= 23
out/HighwayEnv/DQNAgent/run_20210119-135809_31517_exp_merge_110,exp_merge_110 non-coop non-symp  similar to IEEE_Access/exp_base initial_position= 90 and random_offset_merging= 2 and speed= 23
out/HighwayEnv/DQNAgent/run_20210119-135809_31507_exp_merge_112,exp_merge_112 non-coop non-symp  similar to IEEE_Access/exp_base initial_position= 95 and random_offset_merging= 2 and speed= 23
out/HighwayEnv/DQNAgent/run_20210119-135809_31508_exp_merge_111,exp_merge_111 non-coop non-symp  similar to IEEE_Access/exp_base initial_position= 90 and random_offset_merging= 5 and speed= 23
out\HighwayEnv\DQNAgent\run_20210119-135913_8820_exp_merge_120,exp_merge_120 coop non-symp  similar to IEEE_Access/exp_base initial_position= 90 and random_offset_merging= 2 and speed= 23
out\HighwayEnv\DQNAgent\run_20210119-135924_16456_exp_merge_121,exp_merge_121 coop non-symp  similar to IEEE_Access/exp_base initial_position= 90 and random_offset_merging= 5 and speed= 23
