
out\HighwayEnv\DQNAgent\run_20201210-154540_6952_exp_merge_400_base, exp_merge_400 base config Same as Exp_merge_2
out\HighwayEnv\DQNAgent\run_20201210-194124_7464_exp_merge_400_base, exp_merge_400 base config Same as Exp_merge_2
out\HighwayEnv\DQNAgent\run_20201210-194154_19276_exp_merge_401,exp_merge_401 similar to 400_Base with collision_reward= -3 and successful_merging_reward= 3 and high_speed_reward= 1 and cooperative_reward= 2
out\HighwayEnv\DQNAgent\run_20201210-194213_4720_exp_merge_402,exp_merge_402 similar to 400_Base with collision_reward= -3 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 0.5
out\HighwayEnv\DQNAgent\run_20201210-194230_6040_exp_merge_403,exp_merge_403 similar to 400_Base with collision_reward= -3 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 2
out\HighwayEnv\DQNAgent\run_20201210-204712_10408_exp_merge_404,exp_merge_404 similar to 400_Base with collision_reward= -3 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 0.5
out\HighwayEnv\DQNAgent\run_20201210-204732_18000_exp_merge_405,exp_merge_405 similar to 400_Base with collision_reward= -3 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 2
out\HighwayEnv\DQNAgent\run_20201210-204853_2320_exp_merge_406,exp_merge_406 similar to 400_Base with collision_reward= -5 and successful_merging_reward= 3 and high_speed_reward= 1 and cooperative_reward= 0.5
out\HighwayEnv\DQNAgent\run_20201210-214010_6112_exp_merge_400_base, exp_merge_400 base config Same as Exp_merge_2
out\HighwayEnv\DQNAgent\run_20201211-094944_556_exp_merge_400_base, exp_merge_400 base config Same as Exp_merge_2
out\HighwayEnv\DQNAgent\run_20201211-095038_9640_exp_merge_400_base, exp_merge_400 base config Same as Exp_merge_2
out\HighwayEnv\DQNAgent\run_20201211-095245_16408_exp_merge_3," exp_merge_3 Same as Exp_merge_2, with sympathy"
out/HighwayEnv/DQNAgent/run_20201210-154945_2653_exp_merge_407,exp_merge_407 similar to 400_Base with collision_reward= -5 and successful_merging_reward= 3 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201210-154945_2628_exp_merge_409,exp_merge_409 similar to 400_Base with collision_reward= -5 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201210-154945_2657_exp_merge_412,exp_merge_412 similar to 400_Base with collision_reward= -10 and successful_merging_reward= 3 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201210-154945_2625_exp_merge_408,exp_merge_408 similar to 400_Base with collision_reward= -5 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201210-154945_2635_exp_merge_410,exp_merge_410 similar to 400_Base with collision_reward= -5 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201210-154945_2654_exp_merge_411,exp_merge_411 similar to 400_Base with collision_reward= -5 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201211-005900_20577_exp_merge_416,exp_merge_416 similar to 400_Base with collision_reward= -10 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201211-005900_20542_exp_merge_413,exp_merge_413 similar to 400_Base with collision_reward= -10 and successful_merging_reward= 3 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201211-005900_20546_exp_merge_415,exp_merge_415 similar to 400_Base with collision_reward= -10 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201211-005900_20539_exp_merge_414,exp_merge_414 similar to 400_Base with collision_reward= -10 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201211-005900_20531_exp_merge_417,exp_merge_417 similar to 400_Base with collision_reward= -10 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201215-115036_11197_exp_merge_512,exp_merge_512 similar to 500_Base with collision_reward= -10 and successful_merging_reward= 3 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201215-115036_11192_exp_merge_511,exp_merge_511 similar to 500_Base with collision_reward= -5 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201215-115036_11182_exp_merge_510,exp_merge_510 similar to 500_Base with collision_reward= -5 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201215-115036_11181_exp_merge_508,exp_merge_508 similar to 500_Base with collision_reward= -5 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201215-115036_11189_exp_merge_509,exp_merge_509 similar to 500_Base with collision_reward= -5 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201216-004025_5140_exp_merge_514,exp_merge_514 similar to 500_Base with collision_reward= -10 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201216-004025_5147_exp_merge_516,exp_merge_516 similar to 500_Base with collision_reward= -10 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/run_20201216-004025_5146_exp_merge_515,exp_merge_515 similar to 500_Base with collision_reward= -10 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 2
out/HighwayEnv/DQNAgent/run_20201216-004025_5156_exp_merge_517,exp_merge_517 similar to 500_Base with collision_reward= -10 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 2
